text,labels
Right fuckin' here!,0
Aye.,0
Who wants some pretty Polly and a bit of the old in out? Meet me at the milk plus.,0
"Here's my son at age one, crashed out after a hard night of ""surprise visits"" for some trick-or-treatin'...    ",0
I just have to say that is the coolest freaking kids costume EVER. Although it looks like he had a bit too much milk plus.,0
i saw it when i was like 15. i think back and love the concept of the movie but i think i like it more now that im a LITTLE smarter,0
Great film.,0
One of the best films I ever viddied.,0
Great fucking movie!! One of the best ever.,0
great movie. Very unique!,0
"Friggin awesome flick. Loved The Shining too. And even though the story was kinda boring, Barry Lyndon was a gorgeous flick. First half of Full Metal Jacket was cool too.",0
"It's an incredible film. Stanley Kubrick is surely one of the greatest filmmakers of all-time. I would place him above Welles, Godard, Dreyer, Bergman, Fellini and Bunuel, and that's saying quite a bit.",0
"Stanley Kubrick, and seeing ""Clockwork Orange"" as a teenager were what made me start to study film as a potential art form, not just the Hollywood products shoved into release dates that I was used to up until that point (and that, more and more, movies tend towards now). It was just so unique and powerful, and in a way, through its own antisocial nature, it gave me the strength to get through those uncertain high school years, where I often felt caged up and institutionalized like Alex. A lot of people didn't understand it, wrote it off as too weird or disturbing (which it is, certainly was at the time, though times have changed), but then it's not meant to be a family film. I wrote like 2 papers on it in college.    Although I for one think filmmakers are far too casual with releasing Special Edition DVD versions of movies these days, there's one movie where it'd be really nice to see just that, so we might have something with promotional materials and essays and documentaries detailing its influence and transition to the screen, and with any luck, a commentary by Malcolm McDowell and Jan Harlan detailing their thoughts about it, and Kubrick himself (RIP, Stan).",0
Another fan here.    I even dressed like Alex last Saturday.        Indeed.,0
"Great film, book and soundtrack. One of Kubrick's best films, along with The Shining.",0
that a brillent movie  and the look of it  it just brillent movie,0
"kubrick is probably the most overated director in movie history , but even he couldnt screw up source material like clockwork orange",0
A Clockwork Orange is my second-favorite film.    ,0
"Excellent movie, excellent book. People think I can't like both, but they're two seperate things. And I Love both.",0
Love it!,0
"  I don't see what the problem is in liking both. Ah, I like them both, too.    ",0
"    A Clockwork Orange is one of the finest movies of all time, but i guess i still deserve to be shot.",0
    Anyone who would even consider comparing the two should be kicked in the yarbles...they are such different films.,0
who doesn'nt like a clockwork orange,0
"I was trying to figure out the title for a long time, and finally got a decent explaination. Apparently it's a close reference to the UK slang for a slot machine. They call em' fruit machines (I just heard it used the other day in an Arctic Monkey's song!) and the fact it has inner workings like a clock. Alex feels life is a gamble, etc etc.  Any other theories?",0
    from the author's own words. Even better! Thanks.,0
It has the best movie ending ever :),0
i watched it when i was maybe too young but i thought it was great!    though.. i wish i had watched it when it came out.. i am a bit desensitised    i think that the episode of the simpsons where bart dresses as alex is great too.. he looks really sweet! in a disturbing way?,0
fukn legendary movie,0
"read the book...it was awesome, , and the movie of course, kicked serious ass, , though i wish there were some more prison scenes like the book had.",0
"Oh ya, there's just something special about A Clockwork Orange, there's nothing else like it...not even close.  ",0
i just like that movie...,0
"I loved this movie, i have only seen it once but whoa. Great acting too :)",0
one of my favorites of all time and how about the music,0
"Alex: There was me, that is Alex, and my three droogs, that is Pete, Georgie, and Dim, and we sat in the Korova Milkbar trying to make up our rassoodocks what to do with the evening. The Korova milkbar sold milk-plus, milk plus vellocet or synthemesc or drencrom, which is what we were drinking. This would sharpen you up and make you ready for a bit of the old ultra-violence.    I wish we had a Korova Milkbar here ... with Pat Roach as a bouncer.    Alex: Excuse me, Mrs. Can you please help? There's been a terrible accident! My friend's in the middle of the road bleeding to death! Can I please use your telephone for an ambulance?",0
"of course what a great movie cant believe it was banned for so long, i see worse on the news, a what an ending",0
(whispers: I prefer the book),0
"What part are you going for? Alex, I hope :)    It's really hard to find other books like ACwO... The kinds of things that come up as 'similar' to it are Catch-22, 1984, Catcher in the Rye, Slaughterhouse-5... You could do something from One Flew Over The Cuckoo's Nest, but I really wouldn't know which part. Or something from The Wasp Factory?    There are some fair monologues in American Psycho, although I guess Bateman isn't close enough to an 'Alex' to convince your teachers you could play the part...      Bravo to your school though; edgy play to attempt!!",0
"Sorry, didn't notice: you're a girl! :P Doesn't mean you can't play Alex... he IS meant to be 15, so maybe 18 y/o boys will be too mature ;)    If you're not going for that part, may I ask what are you going for?",0
"You can absolutely be Alex as a girl...I dressed as him for halloween two years in a row...I had to improvise with the costume though...you'ld be amazed at how much attention a girl in a jock strap over white quilted long johns get...I was amazed however at how small the population of people that know this movie is. Everyone I know has seen it, but people would ask what are you, I'd tell them and get this blank stare...felt like beating the crap out of them with my walking stick!!!    Welly Welly.",0
      That rocks....did he pass out holding the cane like that ? wow he really go into the role!,0
"Last Halloween I dressed up as one of the students in Battle Royal... ah, nothing sexier than a school uniform covered in blood. Most people didnt get who I was meant to be, so I beat them with my plastic axe. Ah, happy days...",0
Gorgosity!!!,0
Brilliant Flick...,0
"""As an unmuddied lake, Fred. As clear as an azure sky of deepest summer. You can rely on me, Fred.""    I love this film fred",0
The book was better.,0
"I thought The Shining was a good movie, not the best but good. Scatman Crothers was the main reason why I've seen the movie.",0
I love The Shining....Jacks breakdown is so realistic.,0
i only watched like the last hour of it so i didnt get the whole story but it was ok,0
Diturbing but very good,0
i live in the same place as the hotel it was shot in... it was a good movie if i actually read the book i bet it would be better but i didn't so i like the movie ^^,0
The Shining is one of the few Stephen King movies I didnt think was cheesy. A great classic.,0
"the shining is class, did you notice that nicholsons wife in the film was a really bad actress, i think if they hadnt used such a strong actor as nicholson the film would have bombed.",0
I've never understood why he's so respected. all of his movies seem cheesy to me.,0
What makes the book so scary is Jack's slow descent into madness but a major flaw with the film is that Jack starts off as already crazy. When he smiles that famous grin with the crooked eye-brow we already know he's nuts. It takes the terror out of Jack's slow mental breakdown.,0
Jack Nichalson is an awsome actor.... he can act any part. and his movies are awsome,0
"It's a classic movie and the hotel it is based on (The Stanley Hotel) is really supposed to be haunted. My wife and I almost crashed off the road driving by it in the middle of a snow storm. At the time of the near accident, I was kidding around saying, ""I'm coming for you Danny boy!"" Ever since then I've been prohibited from doing impersonations while driving.",0
"the movie is a complete classic, visually stunning, the music is great, jack is great... but frankly the book scared me more (!)",0
"sorry , but i never rated the shining, i dont rate kubrick at all, my opinion.",0
"Fuckin' CLASSIC, despite what Stephen King says. Shelly Duvall is not a pretty woman but her performance exemplary. Nicholson was great, before this act of his became cliched (Batman, Witches of Eastwick).  What a creepy cast of ghouls! Philip Stone, Joe Turkel and those friggin' twins.  Oh, and let's not forget the old bag in the tub!",0
"Excellent film. Infact it was on t.v. last night and I watched it again, one of Kubrick's best films.",0
"    I prefer the movie to the book - animated bestial hedges are not scary, and Jack Nicholson's so good in the role. And that guy what plays the waiter-cum-Delbert O'Grady. The toilet scene is eerie in the book too, mind.",0
"Loved the book, not seen the film yet.    And those hedge animals were fucking creepy.",0
Be serious now! And that corny ending - KABOOM!,0
"I love this movie, but then again I love just about all of King's movie's",0
"I loved it, very scary, and Nicholson was brilliant in it.",0
"I love The Shining. Kubrick's vision is fantastic. A real atmospheric chiller, with a very chilling score too.",0
"I think that reading the book first spoils the movie, but the shining on its own is a brilliant movie, only Stanley Kubrick and Jack Nicholson could do it ;)",0
"I love the Shining, although lets all be honest its getting kinda dated. The campy 70s interior of the Overlook is killing the wicked storyline. I think if you can overlook the camp factor the movie is a true classic. I'd love to see it redone, but cant think of anyone better than Jack...  We may be the last generation to truly love this movie in all its campy classic-ness...  How sad.",0
"I Live it everyday.Except my little friends Dr.Gonzo , not Tony....lol.",0
"first off. you cant compare books and movies. there two different mediums. of course the movie is going to leave stuff out. you really just cant comapare them.    two: the movie is technically based off the book, but lets be honest, half of the story was completely changed. its almost a whole other story.    i get so tired of all these elitest book worms thinking there art is so much better them film.",0
The shinning is a classic hands down! I wasn't really scared of the movies until I saw two scenes.    1. The hot naked chick turning into a old ugly woman.    2. A guy in the bear suite giving oral to some random dude.      The whole bear thing scared the shit out of me for a week!,0
"The Shining is good, but I got Dr Strangelove the other day and it's just brilliant in almost every way.",0
"Oh I forgot! ""RED RUM!!!!!""",0
