,texts,labels
0,hey a guy i know is breathing down my neck to get him some bud anyway you had be able to get a half track to usf tonight,0
1,mr deed am i 87 these number mean nothing to me fair well mr puffy jacket man ha ha ha,0
2,why nothing ok anyway give me treat,0
3,no child support,0
4,why do you want a massage,1
5,pastor do the same thing in church they shall be right in the middle of a statement and then say hello or something like it it a way to keep u add people paying attention lol,0
6,haha can but i am having dinner with my cousin,0
7,can i get your number,1
8,alright i shall get on fb in a couple minute,0
9,so many people seems to be special at first sight but only very few will remain special to you till your last sight maintain them till life end shjas,0
10,i am from loudon you know wear that is,1
11,i am at the gas station go there,0
12,what are youdoing later sar xxx,0
13,i really do not get these psycho fanboys attacking everyone who did not like the damn movie it a fing batman movie grow up all your bitching and moaning will not change the fact that the movie wa just ok and nonething more no one deserves an oscar and no new ground wa broke the fing batmobile wa stopped by a stupid rocket launcher wtf ha ha ha it wa a kid movie written to appeal to the emo generation i guess that explains all the boo hoos and i shall kill myself if heath do not get an oscar some of you really need to get outside more,0
14,i guess it is useless calling u 4 something important,0
15,how long doe applebees fucking take,0
16,it not that you make me cry it just that when all our stuff happens on top of everything else it push me over the edge you do not underdtand how often i cry over my sorry sorry life,0
17,short and a tank again laugh,1
18,ok kewl or early tomorrow,1
19,hmm bit and piece lol sigh,0
20,no on the way home so if not for the long dry spell the season would have been over,0
21,do you really want me to do that,1
22,then mum repent how,0
23,nothing i got msg frm tht unknown no,0
24,message from i am at truro hospital on ext you can phone me here a i have a phone by my side,0
25,when we meeting,1
26,ah poor babyhope urfeeling bettersn luv probthat overdose of work hey go careful spk 2 u sn lot of lovejen xxx,0
27,mystery solved just opened my email and he sent me another batch is not he a sweetie,0
28,have you ever done anal,1
29,ben stiller vince vaughn owen wilsonenough already,0
30,da my birthdate in certificate is in april but real date is today but do not publish it i shall give you a special treat if you keep the secret any way thanks for the wish,0
31,id recommend a couple of hammer littleknown or at least rarely mentioned black and white suspense film nightmare and paranoiac,0
32,want to know what it really liketips from marcbill,1
33,that is y we haf to combine n c how lor,0
34,i do not mind the drive at all,1
35,nice to meet you morgan,1
36,you we will be so wet,1
37,once again con are showing the hypocrite that they are waterboarding is torture you have hung people for committing this crime you cannot even live up to the justice you espouse others to follow any of you in this thread excusing the type of method if you believe in a higher power he certainly is looking down on you today but then your only true god ha been money anyways shameless hypocrite it indefensible it torture and you no longer should ever be given the key to any power whatsoever you have lost every inch of credibility to govern you have turned your back on the constitution morality the american people the soldier and humanity you have completely lost your shit,0
38,how has it feel mr your not my real valentine just my yo valentine even tho u hardly play,0
39,hi babe it me thanks for coming even though it did not go that welli just wanted my bed hope to see you soon love and kiss xxx,0
40,alright i have been set free think you could text me blake address it occurs to me i am not quite a sure what i am doing a i thought i wa,0
41,you want mine,1
42,alan cumming kurt wagnernightcrawler in x2 xmen united quality opening scene,0
43,jay getting really impatient and belligerent,0
44,and smile for me right now a you go and the world will wonder what you are smiling about and think your crazy and keep away from you grin,0
45,perhaps is much easy give your account identification so i will tomorrow at uni,0
46,can i call that number if i get lost,1
47,ut is an awesome school i miss the long walk to class the bus ride i really do haha i had a great time while i wa in austin coffee shop live show football leslie i did not enjoy it a much a i would have liked towards the end bc of workstudying but i would definitely recommend it i hope to move back to austin in a couple year cannot wait,0
48,shall i come to get pickle,0
49,i promise i will not mention it,1
50,well my ex liked them,1
51,he is a womdarfull actor,0
52,now that is going to ruin your thesis,0
53,do you have a cam,1
54,we are you wasted,1
55,where are you what do you do how can you stand to be away from me does not your heart ache without me do not you wonder of me do not you crave me,0
56,you are all a bunch of fucking idiot weed and alchohol both suck they both fuck you up the best thing is porn it is all natural and does not hurt you plus i like getting off more than getting high tho i should follow my own advice with thatbut nvm i am a pill doer,0
57,hey baby i hope to see you soon i can wait to meet you and bye with you love you mike,1
58,i just moved here,1
59,like to see your body,1
60,you like that ti will you get wet,1
61,oh so you did not get dirty on cam,1
62,it just the effect of irritation just ignore it,0
63,love to cudel,1
64,did you like third base,1
65,put your hand undeare top and rub on them,1
66,i am in a marriage function,0
67,ok i understand but i am glad i met you you are so cool,1
68,rather i do it,1
69,what did you do,1
70,what do you do online,1
71,you could google it but here a ccouple httpwwwhuffingtonpostcomnewsjoebidenpage3 biden report of palins iq seem to vary reasonably between 113 and 133 so google itand find whatever you need,0
72,in exam hall boy asked girl tell me the starting term for dis answer i can den manage on my own after lot of hesitation n lookin around silently she said the intha ponnungale ipaditan,0
73,my ex gf suck my cock until i cum,1
74,it not just terrorist we are talking about here we have lost all sense of morality we have lost our value for life and common decency just look at our city street the nation capital is setting checkpoint to curb crime patriot suggest we shoot illegals on site our law enforcement is just a corrupt a it is in mexico a 78 yr old man get hit by a car and people just stand around and look no one run to helpetc etc we have become worse then the terrorist we are supposedly fighting in the middle east,0
75,your too young misssorry,1
76,all these thing are great but we are not allowed to chase them into iran and fix the rest of the pack,0
77,you should make noise when we are having sex,1
78,is there a place you could walk to,1
79,get up earlier,1
80,98 chevy malibu,1
81,are you up for the challenge i know i am,0
82,batmangreat batman returnsgood though there wa some cheesy moment in the movie batman foreveri liked it though twoface should have done more then yelling about how the bat will not die batman and robintotal piece of crap,0
83,i am defiantly one of them,0
