text,labels
"Hey, a guy I know is breathing down my neck to get him some bud, anyway you'd be able to get a half track to usf tonight?",0
Mr Deeds! am i 87? these numbers mean nothing to me! Fair well mr puffy jacket man! Ha ha ha!,0
Why nothing. Ok anyway give me treat,0
 no child support.,0
 why do you want a massage,1
"  Pastors do the same thing in church. They'll be right in the middle of a statement and then say ""HELLO"", or something like it.  It's a way to keep us ADD people paying attention. lol",0
Haha... can... But i'm having dinner with my cousin...,0
CAN I GET your NUMBER,1
Aight ill get on fb in a couple minutes,0
"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas",0
i am from Loudon you  know wear that is,1
I AM AT THE GAS STATION. GO THERE.,0
"\What are youdoing later? Sar xxx\""""",0
"I really don't get these psycho fanboys attacking everyone who didn't like the damn movie. It's a f***ing Batman movie, grow up!  All your bitching and moaning won't change the fact that the movie was just ""OK"" and nonething more.  No one deserves an oscar and no new ground was broke.  The f***ing Batmobile was stopped by a stupid rocket launcher! WTF?? ha ha ha!  It was a kids movie written to appeal to the emo generation... I guess that explains all the ""boo hoos"" and ""I'll kill myself if Heath don't get an oscar!""  Some of you REALLY need to get outside more ;)",0
I guess it is useless calling u 4 something important.,0
How long does applebees fucking take,0
"It's not that you make me cry. It's just that when all our stuff happens on top of everything else, it pushes me over the edge. You don't underdtand how often i cry over my sorry, sorry life.",0
shorts and a tank again laugh,1
ok kewl or early tomorrow,1
Hmm .. Bits and pieces lol ... *sighs* ...,0
No. On the way home. So if not for the long dry spell the season would have been over,0
do you really want me to do that ?,1
Then mum's repent how?,0
"Nothing, i got msg frm tht unknown no..",0
Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side,0
when we meeting?,1
"\AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX.\""""",0
Mystery solved! Just opened my email and he's sent me another batch! Isn't he a sweetie,0
have you  ever done anal?,1
"Ben stiller, Vince Vaughn, Owen Wilson........Enough already.....",0
Da my birthdate in certificate is in april but real date is today. But dont publish it. I shall give you a special treat if you keep the secret. Any way thanks for the wishes,0
"  I'd recommend a couple of Hammer's little-known (or at least rarely mentioned) black and white suspense films, ""Nightmare"" and ""Paranoiac"".",0
want to know what its really like?(Tips from Marc/Bill),1
That's y we haf to combine n c how lor...,0
 i don't mind the drive at all ,1
nice to meet you  morgan,1
"you  we will  be so wet,",1
"once again cons are showing the hypocrites that they are.  waterboarding is torture, you have hung people for committing this crime.  you can't even live up to the justice you espouse others to follow...  any of you in this thread excusing the ""type"" of method, if you believe in a higher power, he certainly is looking down on you today. but then, your only true god has been money anyways...  shameless hypocrites  its indefensible. its torture. and you no longer should ever be given the keys to any power what-so-ever. you have lost every inch of credibility to govern. you have turned your back on the constitution, morality, the american people, the soldiers and humanity.   you have completely lost your shit",0
How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!,0
Hi babe its me thanks for coming even though it didnt go that well!i just wanted my bed! Hope to see you soon love and kisses xxx,0
"Aight I've been set free, think you could text me blake's address? It occurs to me I'm not quite as sure what I'm doing as I thought I was",0
you want mine?,1
Alan Cumming - Kurt Wagner/Nightcrawler in X2: Xmen United    Quality opening scene!,0
Jay's getting really impatient and belligerent,0
And smile for me right now as you go and the world will wonder what you are smiling about and think your crazy and keep away from you ... *grins*,0
"Perhaps * is much easy give your account identification, so i will tomorrow at UNI",0
can i call that number if i get lost,1
"UT is an awesome school. I miss the long walks to class & the bus rides. (I really do! haha) I had a great time while I was in Austin... coffee shops, live shows, football, & Leslie! I didn't enjoy it as much as I would've liked towards the end (b/c of work/studying), but I would definitely recommend it. I hope to move back to Austin in a couple years. Can't wait!",0
Shall i come to get pickle,0
i promise i won't mention it,1
well my ex liked them,1
He is a womdarfull actor,0
Now thats going to ruin your thesis!,0
do you have a cam?,1
Were you  wasted?,1
Where are you ? What do you do ? How can you stand to be away from me ? Doesn't your heart ache without me ? Don't you wonder of me ? Don't you crave me ?,0
"youre all a bunch of FUCKING IDIOTS weed and alchohol both SUCK they both FUCK YOU UP   the best thing is PORN. it is all natural and doesnt hurt you plus, i like getting off more than getting high.   tho i should follow my own advice with that..but nvm *im a pill doer* :(",0
hey baby i hope to see you  soon i can wait to meet you  and bye with you  love you  mike,1
i just moved here,1
like to see your body,1
you like that ti will you get wet,1
OH SO you did not GET DIRTY ON CAM,1
Its just the effect of irritation. Just ignore it,0
love to cudel,1
did you  like third base?,1
put your hand undeare top and rub on them,1
I am in a marriage function,0
ok i understand but I am glad I met you    you  are so cool,1
rather i do it?,1
what did you do?,1
what do you  do online,1
" you could google it, but heres a ccouple  http://www.huffingtonpost.com/news/joe-biden?page=3 --biden  reports of palin's IQ seem to vary reasonably between 113 and 133 so google itand find whatever you need",0
In xam hall boy asked girl Tell me the starting term for dis answer I can den manage on my own After lot of hesitation n lookin around silently she said THE! intha ponnungale ipaditan;),0
my ex gf suck my cock until i cum,1
"Its not just terrorists we are talking about here, we have lost all sense of morality. We have lost our value for life and common decency, just look at our city streets. The nation's capital is setting checkpoints to curb crime, ""patriots"" suggest we shoot illegals on site, our law enforcement is just as corrupt as it is in Mexico, a 78 yr old man gets hit by a car and people just stand around and look, no one runs to help..etc etc. We have become worse then the terrorists we are supposedly fighting in the middle east.",0
"your  too young miss,sorry",1
"All these things are great, but we are not allowed to chase them into Iran and fix the rest of the pack..",0
you  should make noise when we are having sex,1
is there a place you  could walk to,1
get up earlier,1
98 chevy malibu,1
Are you up for the challenge? I know i am :),0
"Batman-great Batman Returns-good, though there was some cheesy moments in the movie. Batman Forever-I liked it, though Two-Face should have done more then yelling about how the Bat won't die. Batman and Robin-total piece of crap",0
I'm defiantly one of them.,0
no i am testing you  to see how much you trust me,1
i'm working on uploading mine,1
we will do whatever you want to,1
Were trying to find a Chinese food place around here,0
othere than a guy fingering you,1
Lol your always so convincing.,0
"  The difference in the old way was they lowered their heads into a bathtub, not pour water over a rag",0
Its posible dnt live in  &lt;#&gt; century cm frwd n thnk different,0
" well for being sexually compulsive, but theiare concern was me talking to girls your age ",1
X-Men United had a good one.,0
"Lynda Carter as Wonder Woman...(although, that is television...)",0
you want to or not?,1
i am not sayin it,1
they leaving tomorrow?,1
so why can we meet like that you tell me if you like what you see baby,1
do you still will look at me?,1
Nothing will ever be easy. But don't be looking for a reason not to take a risk on life and love,0
well you just kinda confused me a little,1
"Oh, yes, I've just been a little under the weather so i've kind of been coccooning at home",0
you  have never seen a guy cum,1
Ya just telling abt tht incident..,0
the last pic is very very sexy,1
" but we can spend all tonight and tomorrow togethere in each other's arms that would be my dream(Don't make me vomit, Corye.)",1
hey how big are your  nipps?? just askin',1
to arrest the guy,1
" And,to prove I'm not in the closet about being tea ""sippin'"".",0
Ujhhhhhhh computer shipped out with address to sandiago and parantella lane. Wtf. Poop.,0
You know there is. I shall speak to you in  &lt;#&gt;  minutes then,0
"It wont b until 2.15 as trying 2 sort house out, is that ok?",0
O. Guess they both got screwd,0
but you  must know what you  want to try,1
so you  don't know  what moaning would be like?,1
"Theoretically yeah, he could be able to come",0
"Sorry, I'll call later in meeting",0
"  Right here. Awesome ending.    Also, Se7en.",0
Tension ah?what machi?any problem?,0
i don't want to get in trouble when it would be so easy when she is gone,1
you like it?,1
we'll have to see were you  fit best,1
how is my pussy?,1
That's what I'm saying. There's no respect in that relationship. So how can they be equal?,0
i don't want you to call me,1
you  name the place,1
not to far from the bowling alley,1
My birthday is on feb  &lt;#&gt;  da. .,0
when mom get off work,1
Dear reached railway. What happen to you,0
" i am GONNA CUMM NOW,ON your ASS,OKBABY!",1
you  home alone,1
i love your  lips,1
so have you  been thinking about me,1
Aiyo u so poor thing... Then u dun wan 2 eat? U bathe already?,0
well i'd be really nice to you,1
just ask me,1
"Ok., is any problem to u frm him? Wats matter?",0
party with me for the weekend,1
I want what you  want,1
I hope you know I'm still mad at you.,0
5 nights...We nt staying at port step liao...Too ex,0
"  Wait, the Iraqis (most of them) want the US to leave.  And most US troops think Iraq is a lost cause.  But you want more death.  Wow, youre pretty damn hateful.",0
You said not now. No problem. When you can. Let me know.,0
Even my brother is not like to speak with me. They treat me like aids patent.,0
"You mean like North Korea ""Came Clean""?",0
kick here ass out  laugh,1
still will want to hook up?,1
let me know if i can meet you before,1
Do u hav any frnd by name ashwini in ur college?,0
you could get me in trouble laugh(you  got you are self in trouble. Luckily I'm a contributor for Perverted Justice instead of a real kid),1
"That's the trouble with classes that go well - you're due a dodgey one Û_ Expecting mine tomo! See you for recovery, same time, same place ",0
"hey can you  call now ,just for a sec",1
makes me sad,1
" ""Can"" and ""will"" have two completely different meanings.",0
sure if you want me to,1
Yup i thk cine is better cos no need 2 go down 2 plaza mah.,0
i will look at the one close to the parking lot,1
go down on you  heheh,1
Yes da. Any plm at ur office,0
Usually the body takes care of it buy making sure it doesnt progress. Can we pls continue this talk on saturday.,0
2 and half years i missed your friendship:-),0
" I wouldn't have said it at all, but you went after Americans. Oh, and you also came to the defense of a liberal.",0
" no, but like when a chick get fucked in the ass, it can hurt really bad sometimes",1
Love it!,0
i wish you had some more,1
but i we will  be back on later,1
just give me the address when you  can.,1
i am not sure i think like the first or second week,1
"  No, blacks were not given access to credit and property in the manner that whites were due to racism. In the 60's many black neighborhoods were destroyed to make the interstate highway system, the replacement was high density public housing. In 68, when king died blacks destroyed their own commercial centers, but these were OWNED by whites and rented to blacks. That was part of the anger, to this day most of these places are still just as they were after the riots. In combination with the drugs that were imported into the cities by Regean to destroy the black pride movement, these things destroyed confidence and morale in the black community, causing them to blame the man. Most of the children from the 70's grew up to be either cynical adults, or backstabbers to the ppl they left behind when they made it, like Barrack and Michelle Obama.",0
Prakesh is there know.,0
I work 7 3,1
but I dpn't want hurt u,1
"  exactly, actualy they could have killed this guy the way they did it, dead prisoners make for lousy information",0
Yes ammae....life takes lot of turns you can only sit and try to hold the steering...,0
I'm in office now da:)where are you?,0
"Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me.",0
you  we will be alone this weekend?,1
  The insanity is just too much in that post sorry.,0
you  still will want to hang out tomorrow,1
Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss,0
Yes.he have good crickiting mind,0
Fuck babe ... What happened to you ? How come you never came back?,0
  What movies has he been in? That's pretty much your answer. Paul Walker is an insignificant piece of bark.,0
you  really want to have sex don't you,1
fightng game or something?,1
laugh i guess i think i  might next time,1
Every day i use to sleep after  &lt;#&gt;  so only.,0
you  like a guy to pyou will out and cum on you?,1
I know that but I can visualize it can't I laugh,1
"I don't have anybody's number, I still haven't thought up a tactful way to ask alex",0
"Maybe not, but he was sexier than the others ;-) LOL!",0
" say, what is your adress?",1
do you want us to have sex c,1
Dude got a haircut. Now its breezy up there,0
No prob. I will send to your email.,0
so what kinda boyfriend you like?,1
if your  e worried about that you best not,1
Hey you can pay. With salary de. Only  &lt;#&gt; .,0
Thanx...,0
"  you're not saying that because she's one of the few people that can play soccer and not get called penalties for using her hands, right?",0
"I want pics of you  with no bra and an unbuttoned shirt,",1
your concern about me,1
"   as you said, the end of the world AS WE KNOW IT isn't that just great? I'm a make sure I'm in an area without many people and with lots of edible vegetation...  can't wait !!",0
  I wouldn't say that. Since 2000 he has worked on almost 140 projects. That's almost 18 projects a year.,0
It has issues right now. Ill fix for her by tomorrow.,0
durian,0
Yeah I can still give you a ride,0
probably hug u,1
would you insist he use a condom?,1
"Damn, can you make it tonight or do you want to just wait til tomorrow",0
are we going to have sex alot,1
i got stamina hehehe,1
Any kind of berries.,0
I will treasure every moment we spend together...,0
hooking up with u,1
  Yeah 70 is considered retarted.,0
It vl bcum more difficult..,0
do you have to work?,1
i see. When we finish we have loads of loans to pay,0
so i go on the 15 fwy and where do i get off sexy,1
i can't figure out what you think about me,1
"K, my roommate also wants a dubsack and another friend may also want some so plan on bringing extra, I'll tell you when they know for sure",0
your  hot though,1
do me a favor,1
Is xy going 4 e lunch?,0
how if I was gone before she got home???,1
 No. Its personal choice. Your health unless it effects society (as in something highly contagious) is a personal decision. It doesnt matter if you base your chgoice on a fortune cookie. Its your life.,0
i am going to tyourn it off now,1
and forever that is,1
wet dreams (Romantic),1
kewl i like trunks,1
Lol ... I really need to remember to eat when I'm drinking but I do appreciate you keeping me company that night babe *smiles*,0
