text,labels
I ended up giving here a fyou will body massage,1
so that is the only reason you  want to make out with me???,1
but how can you call me with no phone laugh,1
because  i watch this show that they set guys up with young girls,1
omg how romantic,1
all your girlfriend getting it?,1
what else you got planned?,1
 i we will get you,1
i ride with a freind,1
hi baby i love you and miss you i hope to see this week,1
 i just don't want to get in trouble,1
so you never told me your  last name,1
while i suck your boobs ,1
we will let you on top so you can go at your  own pace,1
i love you to,1
hey beautifyou will try to see if i can call you  any time soon i want to hear your lovely voice,1
so if you don't want to come over when she is gone just let me no,1
do you think its gonna hurt? i heard it does sometimes,1
do you  want to be on top or bottom,1
out of school this week? ,1
really you  drink,1
laugh ok what color,1
we we will have more time that way,1
you can call now if you like,1
did i miss you too my love,1
so where is your  dad?,1
would you like to feel that,1
would you  like my hands all over your naked body,1
do you think you could come at about 7,1
promise you  i won't call today,1
that is sweet,1
fucking you?,1
is it ok whit u,1
you  drink beer,1
would you  like to meet,1
so how come you want to meet me so bad,1
i can't remember exaclty what you said but it was like licking me,1
you a virgin?,1
OK WHERE AT,1
where at i did not get,1
 think you would lose your cherry to me?,1
I was almost out of here place by then,1
 or is that too much to ask,1
you leaving now?,1
front door,1
afraid you would have the cops there waiting on me,1
i have 3 tattoos in my arms though are in my back arms and the other one is in the front of my right arm the ones in the back of my arms onthe left arm iss my name michael on the right is jhonathan and you know is me love you,1
and it won't hurt as much,1
well not there laugh you must know a place we can go to be together,1
what would like for me to do to you baby,1
ok see you then,1
yes I am do you  want it,1
oooooh short shorts laugh,1
do you like that?,1
 its not worth the chance ,1
you still will want to come right?,1
but what do you want to do,1
"do you like making out?,.and how far have you allowed it to go?",1
i miss u,1
want to share with me?,1
like i say that is on you,1
did you get my messages,1
or before you leave home,1
are you going to suck my dick too baby,1
i thought we just said were doing it on jan 6th,1
is it like right there where I can see it from the mall,1
too much for you?,1
i don't know what were doing like next week,1
i don't think i can,1
if you want to,1
laugh what color ?,1
how are you sexy,1
I don't want to get in trouble,1
hoe old is he,1
well are you in here looking for an older guy ?? laugh,1
did not you say she is living friday,1
you seem cool,1
i will just wait we can get to know each other better ok,1
that is all i want to do make you  feel real good,1
love you baby,1
 to get me in trouble,1
you  moved with parents,1
ok cool later ry,1
mom home now?,1
i love you to and can't wait for this weekend,1
"hey can you  call now ,just for a sec",1
I like that,1
you  don't want to meet earlier so i guees,1
never been fucked?,1
" yeah ,but you  got the place to you are self right",1
i just wasn't feeling it,1
so where do I meet you ?at mcdonalds,1
"but you do want to,right?",1
just as long as your pic are on it,1
yeah but i am older,1
that is ok you  can always let me know when you  want,1
" i have no clue,.wink, wink",1
just come in though,1
just get on top and ride,1
they were both hot,1
yes baby is me did you  get all my messages,1
i got to go stay in touch,1
when do you want to go for a ride ?,1
we can just see each other for a little bit after school,1
i want to meet you too,1
ok i will try to come back,1
oh you mean you want me to tell you when we meet if i like what i see,1
i shave my head,1
i was trying to chat with you like an hour and a half but you were away,1
do you know what tittie fucking is,1
is that what you meant,1
"cool,do you  have a pic",1
so you want me to take your virginity??,1
i said i need to see a pic of you first,1
i'm kewl if you  do,1
i won't tell me in wich way i am scaring you  sexy,1
your  phone was being wierd,1
want to talk about satyourday???,1
have prongs to hit your pussy walls,1
of course i am going to call you tomorrow not today,1
are you  chatting online,1
profile   do you have a body like hers laugh,1
they leaving tomorrow?,1
let me know if you  need my number again,1
i really want to,1
i get off early,1
is that a street name,1
so what else do you like to do,1
do you want to ride me,1
"spam i got it,cute",1
omg do you promise not to come by today my mom might see you,1
i do now but i didnt before ,1
no i don't want to take a chance when she is goin out of town so soon,1
 why do you want a massage,1
why are you nervous baby,1
you we will first time,1
hey are you  going to try my dick too baby,1
i am male for u,1
is she going on a plane,1
i we will  be here if you  want to go now,1
hi mike i am sorry i keep missin you laugh,1
i miss you to,1
