,text,labels
0,Hey a guy I know is breathing down my neck to get him some bud anyway youd be able to get a half track to usf tonight,0
1,Mr Deeds am i 87 these numbers mean nothing to me Fair well mr puffy jacket man Ha ha ha,0
2,Why nothing Ok anyway give me treat,0
3, no child support,0
4, why do you want a massage,1
5,  Pastors do the same thing in church Theyll be right in the middle of a statement and then say HELLO or something like it  Its a way to keep us ADD people paying attention lol,0
6,Haha can But im having dinner with my cousin,0
7,CAN I GET your NUMBER,1
8,Aight ill get on fb in a couple minutes,0
9,So many people seems to be special at first sight But only very few will remain special to you till your last sight Maintain them till life ends Shjas,0
10,i am from Loudon you  know wear that is,1
11,I AM AT THE GAS STATION GO THERE,0
12,What are youdoing later Sar xxx,0
13,I really dont get these psycho fanboys attacking everyone who didnt like the damn movie Its a fing Batman movie grow up  All your bitching and moaning wont change the fact that the movie was just OK and nonething more  No one deserves an oscar and no new ground was broke  The fing Batmobile was stopped by a stupid rocket launcher WTF ha ha ha  It was a kids movie written to appeal to the emo generation I guess that explains all the boo hoos and Ill kill myself if Heath dont get an oscar  Some of you REALLY need to get outside more ,0
14,I guess it is useless calling u 4 something important,0
15,How long does applebees fucking take,0
16,Its not that you make me cry Its just that when all our stuff happens on top of everything else it pushes me over the edge You dont underdtand how often i cry over my sorry sorry life,0
17,shorts and a tank again laugh,1
18,ok kewl or early tomorrow,1
19,Hmm  Bits and pieces lol  sighs ,0
20,No On the way home So if not for the long dry spell the season would have been over,0
21,do you really want me to do that ,1
22,Then mums repent how,0
23,Nothing i got msg frm tht unknown no,0
24,Message from  I am at Truro Hospital on ext You can phone me here as I have a phone by my side,0
25,when we meeting,1
26,AH POOR BABYHOPE URFEELING BETTERSN LUV PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX,0
27,Mystery solved Just opened my email and hes sent me another batch Isnt he a sweetie,0
28,have you  ever done anal,1
29,Ben stiller Vince Vaughn Owen WilsonEnough already,0
30,Da my birthdate in certificate is in april but real date is today But dont publish it I shall give you a special treat if you keep the secret Any way thanks for the wishes,0
31,  Id recommend a couple of Hammers littleknown or at least rarely mentioned black and white suspense films Nightmare and Paranoiac,0
32,want to know what its really likeTips from MarcBill,1
33,Thats y we haf to combine n c how lor,0
34, i dont mind the drive at all ,1
35,nice to meet you  morgan,1
36,you  we will  be so wet,1
37,once again cons are showing the hypocrites that they are  waterboarding is torture you have hung people for committing this crime  you cant even live up to the justice you espouse others to follow  any of you in this thread excusing the type of method if you believe in a higher power he certainly is looking down on you today but then your only true god has been money anyways  shameless hypocrites  its indefensible its torture and you no longer should ever be given the keys to any power whatsoever you have lost every inch of credibility to govern you have turned your back on the constitution morality the american people the soldiers and humanity   you have completely lost your shit,0
38,Hows it feel Mr Your not my real Valentine just my yo Valentine even tho u hardly play,0
39,Hi babe its me thanks for coming even though it didnt go that welli just wanted my bed Hope to see you soon love and kisses xxx,0
40,Aight Ive been set free think you could text me blakes address It occurs to me Im not quite as sure what Im doing as I thought I was,0
41,you want mine,1
42,Alan Cumming  Kurt WagnerNightcrawler in X2 Xmen United    Quality opening scene,0
43,Jays getting really impatient and belligerent,0
44,And smile for me right now as you go and the world will wonder what you are smiling about and think your crazy and keep away from you  grins,0
45,Perhaps  is much easy give your account identification so i will tomorrow at UNI,0
46,can i call that number if i get lost,1
47,UT is an awesome school I miss the long walks to class  the bus rides I really do haha I had a great time while I was in Austin coffee shops live shows football  Leslie I didnt enjoy it as much as I wouldve liked towards the end bc of workstudying but I would definitely recommend it I hope to move back to Austin in a couple years Cant wait,0
48,Shall i come to get pickle,0
49,i promise i wont mention it,1
50,well my ex liked them,1
51,He is a womdarfull actor,0
52,Now thats going to ruin your thesis,0
53,do you have a cam,1
54,Were you  wasted,1
55,Where are you  What do you do  How can you stand to be away from me  Doesnt your heart ache without me  Dont you wonder of me  Dont you crave me ,0
56,youre all a bunch of FUCKING IDIOTS weed and alchohol both SUCK they both FUCK YOU UP   the best thing is PORN it is all natural and doesnt hurt you plus i like getting off more than getting high   tho i should follow my own advice with thatbut nvm im a pill doer ,0
57,hey baby i hope to see you  soon i can wait to meet you  and bye with you  love you  mike,1
58,i just moved here,1
59,like to see your body,1
60,you like that ti will you get wet,1
61,OH SO you did not GET DIRTY ON CAM,1
62,Its just the effect of irritation Just ignore it,0
63,love to cudel,1
64,did you  like third base,1
65,put your hand undeare top and rub on them,1
66,I am in a marriage function,0
67,ok i understand but I am glad I met you    you  are so cool,1
68,rather i do it,1
69,what did you do,1
70,what do you  do online,1
71, you could google it but heres a ccouple  httpwwwhuffingtonpostcomnewsjoebidenpage3 biden  reports of palins IQ seem to vary reasonably between 113 and 133 so google itand find whatever you need,0
72,In xam hall boy asked girl Tell me the starting term for dis answer I can den manage on my own After lot of hesitation n lookin around silently she said THE intha ponnungale ipaditan,0
73,my ex gf suck my cock until i cum,1
74,Its not just terrorists we are talking about here we have lost all sense of morality We have lost our value for life and common decency just look at our city streets The nations capital is setting checkpoints to curb crime patriots suggest we shoot illegals on site our law enforcement is just as corrupt as it is in Mexico a 78 yr old man gets hit by a car and people just stand around and look no one runs to helpetc etc We have become worse then the terrorists we are supposedly fighting in the middle east,0
75,your  too young misssorry,1
76,All these things are great but we are not allowed to chase them into Iran and fix the rest of the pack,0
77,you  should make noise when we are having sex,1
78,is there a place you  could walk to,1
79,get up earlier,1
80,98 chevy malibu,1
81,Are you up for the challenge I know i am ,0
82,Batmangreat Batman Returnsgood though there was some cheesy moments in the movie Batman ForeverI liked it though TwoFace should have done more then yelling about how the Bat wont die Batman and Robintotal piece of crap,0
83,Im defiantly one of them,0
84,no i am testing you  to see how much you trust me,1
85,im working on uploading mine,1
86,we will do whatever you want to,1
87,Were trying to find a Chinese food place around here,0
88,othere than a guy fingering you,1
89,Lol your always so convincing,0
90,  The difference in the old way was they lowered their heads into a bathtub not pour water over a rag,0
91,Its posible dnt live in  ltgt century cm frwd n thnk different,0
92, well for being sexually compulsive but theiare concern was me talking to girls your age ,1
93,XMen United had a good one,0
94,Lynda Carter as Wonder Womanalthough that is television,0
95,you want to or not,1
96,i am not sayin it,1
97,they leaving tomorrow,1
98,so why can we meet like that you tell me if you like what you see baby,1
99,do you still will look at me,1
100,Nothing will ever be easy But dont be looking for a reason not to take a risk on life and love,0
101,well you just kinda confused me a little,1
102,Oh yes Ive just been a little under the weather so ive kind of been coccooning at home,0
103,you  have never seen a guy cum,1
104,Ya just telling abt tht incident,0
105,the last pic is very very sexy,1
106, but we can spend all tonight and tomorrow togethere in each others arms that would be my dreamDont make me vomit Corye,1
107,hey how big are your  nipps just askin,1
108,to arrest the guy,1
109, Andto prove Im not in the closet about being tea sippin,0
110,Ujhhhhhhh computer shipped out with address to sandiago and parantella lane Wtf Poop,0
111,You know there is I shall speak to you in  ltgt  minutes then,0
